environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,707,9,4.5,698,707.0,353.5,2.666562795639038,0,1.1295256469510655,0.7360378503799438,1.2264879442699441,699,pn,pn,PN,
77001,intercepted,1,0,0,0,236,17,8.5,219,236.0,118.0,7.122506141662598,0,1.1205329452725974,1.0616745948791504,1.2203357753837172,220,pn,pn,PN,
77002,intercepted,1,0,0,0,1133,58,29.0,1075,1133.0,566.5,2.2741589546203613,0,1.118285817983924,0.7353639006614685,1.220744721804016,1076,pn,pn,PN,
77003,soldier_caught,0,1,0,0,169,30,15.0,139,,,0.8901978135108948,0,1.1413429589143822,2.1424505710601807,1.2400750354547374,140,pn,pn,PN,
77004,intercepted,1,0,0,0,339,71,35.5,268,339.0,169.5,3.592477560043335,0,1.134588588735428,0.5670848488807678,1.2242211236958558,269,pn,pn,PN,
77005,intercepted,1,0,0,0,121,13,6.5,108,121.0,60.5,4.313032150268555,0,1.1300224551093687,0.768074095249176,1.2525927285202776,109,pn,pn,PN,
77006,intercepted,1,0,0,0,372,31,15.5,341,372.0,186.0,2.6176435947418213,0,1.1229268869722795,1.1080162525177002,1.219793884815959,342,pn,pn,PN,
77007,soldier_caught,0,1,0,0,200,16,8.0,184,,,0.9251028895378113,0,1.1786694549225472,0.9660471081733704,1.2811492162495386,185,pn,pn,PN,
77008,soldier_caught,0,1,0,0,142,9,4.5,133,,,0.9176887273788452,0,1.1763018507566025,1.5890511274337769,1.2532803214947175,134,pn,pn,PN,
77009,soldier_caught,0,1,0,0,252,136,68.0,116,,,1.1767276525497437,0,1.1476022992123904,0.9182837605476379,1.25530150727628,117,pn,pn,PN,
77010,soldier_caught,0,1,0,0,526,10,5.0,516,,,1.0561394691467285,0,1.1229553102467,0.8487691879272461,1.21478573411023,517,pn,pn,PN,
77011,intercepted,1,0,0,0,317,17,8.5,300,317.0,158.5,4.654223918914795,0,1.0762603083668754,0.2444913238286972,1.173385436441144,301,pn,pn,PN,
77012,intercepted,1,0,0,0,1017,10,5.0,1007,1017.0,508.5,2.3854076862335205,0,1.1279363753421912,0.5640053749084473,1.2230530487256979,1008,pn,pn,PN,
77013,intercepted,1,0,0,0,382,29,14.5,353,382.0,191.0,5.142580509185791,0,1.0921639188555843,0.8676111698150635,1.189541493983605,354,pn,pn,PN,
77014,soldier_caught,0,1,0,0,307,10,5.0,297,,,1.472435474395752,0,1.0971302165081036,0.5028098225593567,1.183863622629385,298,pn,pn,PN,
77015,intercepted,1,0,0,0,184,9,4.5,175,184.0,92.0,2.887352705001831,0,1.1782991516996513,1.3304165601730347,1.281509205433998,176,pn,pn,PN,
77016,soldier_caught,0,1,0,0,34,8,4.0,26,,,1.7822242975234985,0,1.2175230582555134,0.7520745396614075,1.3472208596984738,27,pn,pn,PN,
77017,intercepted,1,0,0,0,83,14,7.0,69,83.0,41.5,13.128687858581543,0,1.23045357465744,0.7695180177688599,1.3139879847938527,70,pn,pn,PN,
77018,intercepted,1,0,0,0,680,77,38.5,603,680.0,340.0,3.9324569702148438,0,1.1478092684749737,1.4722013473510742,1.248377443351104,604,pn,pn,PN,
77019,soldier_caught,0,1,0,0,54,8,4.0,46,,,1.2115931510925293,0,1.0923126485753567,1.7669904232025146,1.1820533017545076,47,pn,pn,PN,
77020,intercepted,1,0,0,0,239,10,5.0,229,239.0,119.5,7.089316368103027,0,1.1342456996440888,1.04413902759552,1.2263774056482304,230,pn,pn,PN,
77021,intercepted,1,0,0,0,52,41,20.5,11,52.0,26.0,13.844696044921875,0,1.1773907740910847,1.2699711322784424,1.2499692541786487,12,pn,pn,PN,
77022,intercepted,1,0,0,0,37,16,8.0,21,37.0,18.5,3.601125717163086,0,1.4511008486151695,2.092154026031494,1.5616367034022243,22,pn,pn,PN,
77023,intercepted,1,0,0,0,31,12,6.0,19,31.0,15.5,14.334811210632324,0,0.8497598074376583,1.002918004989624,0.92893207558003,20,pn,pn,PN,
77024,intercepted,1,0,0,0,279,18,9.0,261,279.0,139.5,9.922117233276367,0,1.0510133991145905,1.1022765636444092,1.1524443877673982,262,pn,pn,PN,
77025,intercepted,1,0,0,0,971,57,28.5,914,971.0,485.5,3.0934340953826904,0,1.1305773710536826,1.2002395391464233,1.223057104651775,915,pn,pn,PN,
77026,intercepted,1,0,0,0,241,10,5.0,231,241.0,120.5,8.485797882080078,0,1.1370141399895837,1.6536777019500732,1.2358873597358067,232,pn,pn,PN,
77027,intercepted,1,0,0,0,195,21,10.5,174,195.0,97.5,2.4976489543914795,0,1.1118331409352167,2.1545369625091553,1.2071117299149765,175,pn,pn,PN,
77028,intercepted,1,0,0,0,209,10,5.0,199,209.0,104.5,2.9585964679718018,0,1.1823545783758163,1.2758527994155884,1.2619451794300316,200,pn,pn,PN,
77029,intercepted,1,0,0,0,112,15,7.5,97,112.0,56.0,2.244685173034668,0,1.1305648213138386,0.933566689491272,1.2204853286993096,98,pn,pn,PN,
77030,intercepted,1,0,0,0,55,9,4.5,46,55.0,27.5,9.550604820251465,0,1.1756970146869092,0.5577143430709839,1.286653494407785,47,pn,pn,PN,
77031,soldier_caught,0,1,0,0,340,9,4.5,331,,,1.999980092048645,0,1.1428965848073902,2.03796648979187,1.2463779229961711,332,pn,pn,PN,
77032,intercepted,1,0,0,0,38,31,15.5,7,38.0,19.0,13.230451583862305,0,1.3656536564230919,2.478870391845703,1.4757819969200978,8,pn,pn,PN,
77033,intercepted,1,0,0,0,521,14,7.0,507,521.0,260.5,2.909266948699951,0,1.1275676548862317,0.9739856123924255,1.2286486218976895,508,pn,pn,PN,
77034,intercepted,1,0,0,0,457,10,5.0,447,457.0,228.5,2.574784278869629,0,1.1332819846159379,1.50191330909729,1.2325132331312096,448,pn,pn,PN,
77035,intercepted,1,0,0,0,223,13,6.5,210,223.0,111.5,10.969145774841309,0,1.0837668784810186,1.5370732545852661,1.1849809790367667,211,pn,pn,PN,
77036,intercepted,1,0,0,0,140,13,6.5,127,140.0,70.0,3.8850958347320557,0,1.1085975531022996,1.2711424827575684,1.1843475139417152,128,pn,pn,PN,
77037,intercepted,1,0,0,0,99,12,6.0,87,99.0,49.5,10.607494354248047,0,1.1414155320010402,0.5996575355529785,1.2339667053868757,88,pn,pn,PN,
77038,soldier_caught,0,1,0,0,319,11,5.5,308,,,1.6379756927490234,0,1.1196123717961575,1.8501170873641968,1.211771304460764,309,pn,pn,PN,
77039,soldier_caught,0,1,0,0,278,13,6.5,265,,,1.8919126987457275,0,1.105164157660832,0.4721396863460541,1.2001466200099218,266,pn,pn,PN,
77040,intercepted,1,0,0,0,1528,10,5.0,1518,1528.0,764.0,3.286327362060547,0,1.1216187822516612,0.82099449634552,1.2141329909456577,1519,pn,pn,PN,
77041,soldier_caught,0,1,0,0,45,18,9.0,27,,,1.4997795820236206,0,1.0343483505504472,0.42115941643714905,1.1497968931094469,28,pn,pn,PN,
77042,intercepted,1,0,0,0,152,8,4.0,144,152.0,76.0,2.809842824935913,0,1.135890647871741,0.9426277875900269,1.2324239578703782,145,pn,pn,PN,
77043,intercepted,1,0,0,0,44,13,6.5,31,44.0,22.0,3.221245288848877,0,1.2252596416510642,1.311326503753662,1.3056471869300068,32,pn,pn,PN,
77044,intercepted,1,0,0,0,33,13,6.5,20,33.0,16.5,3.849118232727051,0,1.2566534408501215,0.8009538054466248,1.3942885320830494,21,pn,pn,PN,
77045,intercepted,1,0,0,0,147,63,31.5,84,147.0,73.5,7.045810222625732,0,1.096158294642673,1.7060695886611938,1.1958428637058116,85,pn,pn,PN,
77046,intercepted,1,0,0,0,63,13,6.5,50,63.0,31.5,7.797902584075928,0,1.1967454137755376,0.8193888664245605,1.2984349009419278,51,pn,pn,PN,
77047,soldier_caught,0,1,0,0,59,9,4.5,50,,,0.9076715111732483,0,1.0473856116626776,1.4564435482025146,1.168467832517785,51,pn,pn,PN,
77048,intercepted,1,0,0,0,41,34,17.0,7,41.0,20.5,13.659528732299805,0,0.9995398856699467,1.1027835607528687,1.0936683823252125,8,pn,pn,PN,
77049,intercepted,1,0,0,0,209,34,17.0,175,209.0,104.5,2.123420238494873,0,1.0767331378195772,0.6169470548629761,1.187128278049599,176,pn,pn,PN,
77050,intercepted,1,0,0,0,337,10,5.0,327,337.0,168.5,3.564011573791504,0,1.1081782053338318,1.3250614404678345,1.2075294305740623,328,pn,pn,PN,
77051,intercepted,1,0,0,0,104,15,7.5,89,104.0,52.0,9.669207572937012,0,1.0463151017824808,1.3363410234451294,1.124612907437514,90,pn,pn,PN,
77052,intercepted,1,0,0,0,600,17,8.5,583,600.0,300.0,4.9746809005737305,0,1.1358206051286974,2.1339030265808105,1.2400061447741355,584,pn,pn,PN,
77053,intercepted,1,0,0,0,133,11,5.5,122,133.0,66.5,8.514425277709961,0,1.1368104666471481,2.1013901233673096,1.2276001420290639,123,pn,pn,PN,
77054,intercepted,1,0,0,0,326,19,9.5,307,326.0,163.0,7.416719436645508,0,1.14682377357181,0.5129733085632324,1.2487561833945808,308,pn,pn,PN,
77055,intercepted,1,0,0,0,379,13,6.5,366,379.0,189.5,4.590648174285889,0,1.1309770783384099,1.3477001190185547,1.2320122000254548,367,pn,pn,PN,
77056,unsafe_intercept,0,0,1,0,103,102,51.0,1,,,3.211319923400879,0,0.8516740202903748,1.0982506275177002,0.8866502467542139,2,pn,pn,PN,
77057,soldier_caught,0,1,0,0,376,10,5.0,366,,,1.6397231817245483,0,1.1005995138789393,0.7594937682151794,1.2033226350522916,367,pn,pn,PN,
77058,intercepted,1,0,0,0,771,7,3.5,764,771.0,385.5,5.592545986175537,0,1.1109512503240622,2.016430377960205,1.2026096807336064,765,pn,pn,PN,
77059,intercepted,1,0,0,0,422,11,5.5,411,422.0,211.0,4.740298748016357,0,1.0796550761148767,2.0145320892333984,1.1727392613753562,412,pn,pn,PN,
77060,intercepted,1,0,0,0,118,10,5.0,108,118.0,59.0,6.520798683166504,0,1.0479206225467383,1.3346412181854248,1.1417044901280475,109,pn,pn,PN,
77061,intercepted,1,0,0,0,51,8,4.0,43,51.0,25.5,3.9900147914886475,0,1.1786650757897983,0.5854244232177734,1.294402966814314,44,pn,pn,PN,
77062,intercepted,1,0,0,0,142,11,5.5,131,142.0,71.0,2.534226655960083,0,1.166651723285516,1.7272082567214966,1.266083701793102,132,pn,pn,PN,
77063,intercepted,1,0,0,0,507,8,4.0,499,507.0,253.5,6.0535736083984375,0,1.1493446239233016,1.2004220485687256,1.2478951890892813,500,pn,pn,PN,
77064,intercepted,1,0,0,0,183,7,3.5,176,183.0,91.5,8.909459114074707,0,1.1715622716030831,1.1273057460784912,1.2859798215538272,177,pn,pn,PN,
77065,intercepted,1,0,0,0,71,11,5.5,60,71.0,35.5,5.713257789611816,0,1.191679238295946,1.1202229261398315,1.295743745741164,61,pn,pn,PN,
77066,intercepted,1,0,0,0,450,12,6.0,438,450.0,225.0,2.9590024948120117,0,1.086211083792065,1.1873571872711182,1.1772910889590613,439,pn,pn,PN,
77067,soldier_caught,0,1,0,0,108,82,41.0,26,,,1.3919016122817993,0,1.1325676717140056,1.3304836750030518,1.256753449293536,27,pn,pn,PN,
77068,intercepted,1,0,0,0,1402,10,5.0,1392,1402.0,701.0,3.3099918365478516,0,1.1339192282507424,1.2025855779647827,1.2307552154339536,1393,pn,pn,PN,
77069,intercepted,1,0,0,0,209,9,4.5,200,209.0,104.5,7.840020656585693,0,1.1904086254129362,0.780295193195343,1.2822269587289858,201,pn,pn,PN,
77070,intercepted,1,0,0,0,13,11,5.5,2,13.0,6.5,5.378464698791504,0,1.3957688013712566,1.3461627960205078,1.425389921091749,3,pn,pn,PN,
77071,intercepted,1,0,0,0,104,15,7.5,89,104.0,52.0,12.724925994873047,0,1.0617979605992636,1.3579137325286865,1.1755106933265462,90,pn,pn,PN,
77072,intercepted,1,0,0,0,118,17,8.5,101,118.0,59.0,7.391589641571045,0,1.086370606340614,1.085584282875061,1.1824045368529523,102,pn,pn,PN,
77073,intercepted,1,0,0,0,225,11,5.5,214,225.0,112.5,4.750915050506592,0,1.095331080708393,0.7094564437866211,1.1899527747354097,215,pn,pn,PN,
77074,soldier_caught,0,1,0,0,35,10,5.0,25,,,1.5355802774429321,0,1.0523068400529714,0.10927292704582214,1.1770049148976023,26,pn,pn,PN,
77075,intercepted,1,0,0,0,40,12,6.0,28,40.0,20.0,5.8823065757751465,0,1.063375960136282,1.2158259153366089,1.1408573004093208,29,pn,pn,PN,
77076,intercepted,1,0,0,0,420,8,4.0,412,420.0,210.0,7.275457382202148,0,1.115397943945976,1.130805492401123,1.2175424451154802,413,pn,pn,PN,
77077,intercepted,1,0,0,0,208,16,8.0,192,208.0,104.0,4.477791786193848,0,1.0815789403847462,1.7808232307434082,1.181655497475813,193,pn,pn,PN,
77078,intercepted,1,0,0,0,419,9,4.5,410,419.0,209.5,4.8025102615356445,0,1.0912438354062919,1.1869889497756958,1.1949079335373556,411,pn,pn,PN,
77079,soldier_caught,0,1,0,0,47,22,11.0,25,,,1.6908316612243652,0,1.0699514150619507,0.44406604766845703,1.1577401083783712,26,pn,pn,PN,
77080,intercepted,1,0,0,0,1074,9,4.5,1065,1074.0,537.0,2.7910656929016113,0,1.1314475440593195,1.6941384077072144,1.2283051851368703,1066,pn,pn,PN,
77081,intercepted,1,0,0,0,204,30,15.0,174,204.0,102.0,6.368770122528076,0,1.1209785262175969,0.8061193227767944,1.2129883235192747,175,pn,pn,PN,
77082,soldier_caught,0,1,0,0,329,8,4.0,321,,,1.9915472269058228,0,1.1409605086219976,1.1713050603866577,1.240908909410871,322,pn,pn,PN,
77083,intercepted,1,0,0,0,654,8,4.0,646,654.0,327.0,3.0577597618103027,0,1.1343257699098432,0.6528005003929138,1.2268980286890798,647,pn,pn,PN,
77084,intercepted,1,0,0,0,883,10,5.0,873,883.0,441.5,4.260727882385254,0,1.1115415825996573,1.1239508390426636,1.2141114393895978,874,pn,pn,PN,
77085,unsafe_intercept,0,0,1,0,10,8,4.0,2,,,2.862760066986084,0,0.9669744173685709,0.6834004521369934,1.0347318137959653,3,pn,pn,PN,
77086,intercepted,1,0,0,0,228,9,4.5,219,228.0,114.0,6.46295690536499,0,1.1393463376570832,1.2233234643936157,1.2354807643800392,220,pn,pn,PN,
77087,intercepted,1,0,0,0,11,9,4.5,2,11.0,5.5,4.305535793304443,0,1.0883759260177612,1.2432373762130737,1.1073601913356423,3,pn,pn,PN,
77088,intercepted,1,0,0,0,1559,9,4.5,1550,1559.0,779.5,2.2497663497924805,0,1.1373274993610183,0.6212450265884399,1.2342663928872186,1551,pn,pn,PN,
77089,intercepted,1,0,0,0,215,49,24.5,166,215.0,107.5,3.598679304122925,0,1.1001227071542226,1.3561917543411255,1.1910299725807463,167,pn,pn,PN,
77090,intercepted,1,0,0,0,131,10,5.0,121,131.0,65.5,5.936610221862793,0,1.093096335464325,0.5660654306411743,1.1935790745495263,122,pn,pn,PN,
77091,intercepted,1,0,0,0,273,8,4.0,265,273.0,136.5,6.921291351318359,0,1.119794779870295,1.1055306196212769,1.210409913164677,266,pn,pn,PN,
77092,intercepted,1,0,0,0,601,9,4.5,592,601.0,300.5,3.959582567214966,0,1.1235370100499407,1.275842547416687,1.2138978181476023,593,pn,pn,PN,
77093,intercepted,1,0,0,0,122,40,20.0,82,122.0,61.0,3.4867961406707764,0,1.1038266239036996,0.16771762073040009,1.2008583132416044,83,pn,pn,PN,
77094,intercepted,1,0,0,0,604,15,7.5,589,604.0,302.0,2.4978227615356445,0,1.1186143029039188,0.6105706691741943,1.2163442876570896,590,pn,pn,PN,
