environment_seed,outcome,success,soldier_caught,unsafe_intercept,timeout,total_steps,detection_step,detection_time_seconds,post_detection_steps,intercept_step,intercept_time_seconds,min_enemy_soldier_dist,physical_limit_violations,mean_tracking_error,final_tracking_error,tracking_rmse,n_tracking_samples,instance_id,instance_name,family,training_seed
77000,intercepted,1,0,0,0,563,9,4.5,554,563.0,281.5,3.5523693561553955,0,2.691996015621735,2.464240074157715,2.7612569434901624,555,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77001,soldier_caught,0,1,0,0,616,17,8.5,599,,,0.9983974099159241,0,2.659666332900524,2.2056071758270264,2.7402413871239317,600,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77002,soldier_caught,0,1,0,0,286,58,29.0,228,,,1.9540702104568481,0,2.530938505085275,2.3012404441833496,2.608848769252551,229,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77003,intercepted,1,0,0,0,348,30,15.0,318,348.0,174.0,6.551743030548096,0,2.5440661135044964,2.580552101135254,2.6459187312099455,319,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77004,soldier_caught,0,1,0,0,1436,72,36.0,1364,,,0.8057495951652527,0,2.6118160546480955,0.749530553817749,2.6879992607958663,1365,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77005,intercepted,1,0,0,0,239,13,6.5,226,239.0,119.5,6.212586879730225,0,2.540402410510878,2.358171224594116,2.636656460342437,227,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77006,intercepted,1,0,0,0,505,31,15.5,474,505.0,252.5,2.51145076751709,0,2.53472005003377,3.4051547050476074,2.6227555364587745,475,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77007,intercepted,1,0,0,0,555,16,8.0,539,555.0,277.5,2.2477293014526367,0,2.481408397687806,3.2188894748687744,2.6028081238711587,540,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77008,intercepted,1,0,0,0,893,9,4.5,884,893.0,446.5,2.5924198627471924,0,2.6631960188433275,2.748523235321045,2.7381357928381442,885,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77009,intercepted,1,0,0,0,318,136,68.0,182,318.0,159.0,4.791203022003174,0,2.6354544662712702,0.5484760999679565,2.7202301149934356,183,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77010,intercepted,1,0,0,0,102,10,5.0,92,102.0,51.0,3.0614402294158936,0,2.494398984857785,1.9663138389587402,2.6173341116606226,93,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77011,intercepted,1,0,0,0,185,17,8.5,168,185.0,92.5,5.902096748352051,0,2.3435215685494555,1.3628695011138916,2.4723614884489122,169,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77012,intercepted,1,0,0,0,131,10,5.0,121,131.0,65.5,5.762152194976807,0,2.3126542973713797,1.17808198928833,2.447116860951834,122,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77013,intercepted,1,0,0,0,245,29,14.5,216,245.0,122.5,10.164408683776855,0,2.7214235597491814,3.04677152633667,2.7793439600308956,217,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77014,intercepted,1,0,0,0,1126,10,5.0,1116,1126.0,563.0,3.249697685241699,0,2.7206879929441796,2.511373281478882,2.785499501540637,1117,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77015,intercepted,1,0,0,0,973,9,4.5,964,973.0,486.5,2.5093250274658203,0,2.5934339898083496,3.2589149475097656,2.694249224762153,965,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77016,soldier_caught,0,1,0,0,392,8,4.0,384,,,0.6054738163948059,0,2.472022752637987,2.65437912940979,2.57831435899962,385,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77017,intercepted,1,0,0,0,142,14,7.0,128,142.0,71.0,11.585223197937012,0,2.697016652702361,3.5243775844573975,2.7823823125151073,129,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77018,intercepted,1,0,0,0,517,77,38.5,440,517.0,258.5,3.9846222400665283,0,2.6536196483776413,2.4342424869537354,2.7214425841998797,441,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77019,intercepted,1,0,0,0,424,8,4.0,416,424.0,212.0,6.334410190582275,0,2.568419261659078,3.1916089057922363,2.64398304625448,417,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77020,soldier_caught,0,1,0,0,1980,10,5.0,1970,,,1.753525733947754,0,2.6625341833665974,2.3286519050598145,2.7311524759500654,1971,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77021,intercepted,1,0,0,0,800,41,20.5,759,800.0,400.0,2.017751932144165,0,2.7220376359788996,2.4025676250457764,2.7746997110464853,760,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77022,intercepted,1,0,0,0,19,16,8.0,3,19.0,9.5,3.475778579711914,0,1.7495054304599762,2.173227310180664,1.767072793428604,4,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77023,intercepted,1,0,0,0,43,12,6.0,31,43.0,21.5,2.7451226711273193,0,2.0711532225832343,3.043395519256592,2.2786350339386887,32,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77024,intercepted,1,0,0,0,295,18,9.0,277,295.0,147.5,10.06908130645752,0,2.6378648483710325,2.1878700256347656,2.701124652149198,278,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77025,intercepted,1,0,0,0,1356,57,28.5,1299,1356.0,678.0,3.94108247756958,0,2.6830163207650184,2.575592517852783,2.758759089129197,1300,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77026,soldier_caught,0,1,0,0,320,10,5.0,310,,,1.9113483428955078,0,2.5206339452236026,2.684509515762329,2.6144354028955097,311,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77027,intercepted,1,0,0,0,722,21,10.5,701,722.0,361.0,2.237898826599121,0,2.5935036674184335,2.7805662155151367,2.677530934006223,702,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77028,intercepted,1,0,0,0,19,10,5.0,9,19.0,9.5,10.966418266296387,0,1.8947360396385193,3.0294480323791504,2.0749811566043634,10,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77029,soldier_caught,0,1,0,0,209,15,7.5,194,,,1.9600372314453125,0,2.6018095386333955,0.5652061104774475,2.707484206920797,195,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77030,intercepted,1,0,0,0,205,9,4.5,196,205.0,102.5,9.362005233764648,0,2.653326223495648,3.4708542823791504,2.7398826587855876,197,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77031,intercepted,1,0,0,0,1025,9,4.5,1016,1025.0,512.5,2.4182612895965576,0,2.684500906121942,2.7750353813171387,2.7626313002430654,1017,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77032,intercepted,1,0,0,0,443,31,15.5,412,443.0,221.5,2.673107624053955,0,2.747175719922738,3.119211196899414,2.8032983912717886,413,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77033,unsafe_intercept,0,0,1,0,16,14,7.0,2,,,2.4805679321289062,0,1.5039446751276653,1.1141566038131714,1.7622404302271986,3,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77034,intercepted,1,0,0,0,915,10,5.0,905,915.0,457.5,4.411704063415527,0,2.6317463685937277,3.4546406269073486,2.714698051521513,906,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77035,soldier_caught,0,1,0,0,35,13,6.5,22,,,1.5155028104782104,0,2.1785971405713456,1.3681614398956299,2.3875898959238637,23,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77036,unsafe_intercept,0,0,1,0,15,13,6.5,2,,,2.9708945751190186,0,0.9578256408373514,1.0272101163864136,0.9652153970859036,3,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77037,soldier_caught,0,1,0,0,1141,12,6.0,1129,,,0.6847079396247864,0,2.698721367885581,2.209805727005005,2.7769074036037504,1130,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77038,intercepted,1,0,0,0,622,11,5.5,611,622.0,311.0,2.4783549308776855,0,2.693393773113201,2.7791624069213867,2.7624005584669717,612,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77039,intercepted,1,0,0,0,318,13,6.5,305,318.0,159.0,2.6080245971679688,0,2.671865974181618,2.6453540325164795,2.7593528725746963,306,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77040,soldier_caught,0,1,0,0,458,10,5.0,448,,,1.4926162958145142,0,2.592133095575069,1.9063351154327393,2.6972876410077795,449,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77041,intercepted,1,0,0,0,100,18,9.0,82,100.0,50.0,2.5004899501800537,0,2.423657784619963,2.6403708457946777,2.6058469790086134,83,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77042,intercepted,1,0,0,0,171,8,4.0,163,171.0,85.5,2.2680766582489014,0,2.5172507592090745,1.914022445678711,2.620462852130282,164,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77043,soldier_caught,0,1,0,0,360,13,6.5,347,,,1.6350054740905762,0,2.6210712018026703,1.6685155630111694,2.725216453591467,348,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77044,intercepted,1,0,0,0,197,13,6.5,184,197.0,98.5,3.6571033000946045,0,2.587470469442574,1.9713618755340576,2.672618088335747,185,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77045,intercepted,1,0,0,0,69,60,30.0,9,69.0,34.5,14.338614463806152,0,1.7759703814983367,2.2713027000427246,1.8704537868649787,10,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77046,intercepted,1,0,0,0,189,13,6.5,176,189.0,94.5,6.911402702331543,0,2.680205611859338,3.208012819290161,2.7885187944873953,177,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77047,intercepted,1,0,0,0,23,9,4.5,14,23.0,11.5,2.484132766723633,0,1.341928587357203,0.7540839314460754,1.5361056653662895,15,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77048,soldier_caught,0,1,0,0,1480,34,17.0,1446,,,0.7099986672401428,0,2.681423440482918,2.2940492630004883,2.753818856863802,1447,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77049,intercepted,1,0,0,0,56,34,17.0,22,56.0,28.0,12.891209602355957,0,2.057550230751867,1.5464509725570679,2.21761146858695,23,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77050,soldier_caught,0,1,0,0,37,10,5.0,27,,,1.5277501344680786,0,2.339861667581967,2.336470603942871,2.4286297539179036,28,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77051,intercepted,1,0,0,0,24,15,7.5,9,24.0,12.0,13.324541091918945,0,1.7254848301410675,2.8243424892425537,2.045646447103486,10,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77052,intercepted,1,0,0,0,366,17,8.5,349,366.0,183.0,3.597135066986084,0,2.6254963432039533,2.0622453689575195,2.699166775741449,350,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77053,intercepted,1,0,0,0,1076,11,5.5,1065,1076.0,538.0,3.197265386581421,0,2.641059715824995,1.7546640634536743,2.725007066598341,1066,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77054,intercepted,1,0,0,0,306,19,9.5,287,306.0,153.0,8.408900260925293,0,2.7146131491495504,2.8061656951904297,2.7890657194723336,288,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77055,soldier_caught,0,1,0,0,582,13,6.5,569,,,1.865494728088379,0,2.6616456413739606,2.8264050483703613,2.73986618381706,570,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77056,intercepted,1,0,0,0,547,132,66.0,415,547.0,273.5,3.4552507400512695,0,2.657733996756948,2.975064516067505,2.7400621774650284,416,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77057,intercepted,1,0,0,0,114,10,5.0,104,114.0,57.0,2.178873300552368,0,2.4922524648053304,2.7827956676483154,2.573438861241973,105,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77058,intercepted,1,0,0,0,489,7,3.5,482,489.0,244.5,3.1133370399475098,0,2.635173707891942,2.494058132171631,2.7144218985095327,483,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77059,intercepted,1,0,0,0,299,11,5.5,288,299.0,149.5,6.309572696685791,0,2.7033500813695386,2.0825893878936768,2.7724368077082393,289,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77060,intercepted,1,0,0,0,380,10,5.0,370,380.0,190.0,3.7540462017059326,0,2.5405719561396904,3.359574794769287,2.6482216618132184,371,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77061,intercepted,1,0,0,0,145,8,4.0,137,145.0,72.5,3.171780824661255,0,2.5403171272381493,1.5994986295700073,2.63056721227819,138,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77062,intercepted,1,0,0,0,257,11,5.5,246,257.0,128.5,3.460961103439331,0,2.437524843493454,3.760430097579956,2.555219217667304,247,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77063,intercepted,1,0,0,0,170,8,4.0,162,170.0,85.0,6.620163440704346,0,2.623854538414376,3.2340006828308105,2.6686486895330854,163,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77064,soldier_caught,0,1,0,0,58,7,3.5,51,,,1.3562403917312622,0,2.2037827418400693,3.0789544582366943,2.3617614007470937,52,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77065,soldier_caught,0,1,0,0,106,11,5.5,95,,,1.4072673320770264,0,2.4143463553239903,3.9128570556640625,2.514602135775566,96,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77066,intercepted,1,0,0,0,14,12,6.0,2,14.0,7.0,3.6088671684265137,0,0.4289281169573466,0.30230942368507385,0.4685315806000712,3,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77067,soldier_caught,0,1,0,0,108,82,41.0,26,,,1.6022601127624512,0,2.4440057432210005,1.1758840084075928,2.5992525391789454,27,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77068,intercepted,1,0,0,0,598,10,5.0,588,598.0,299.0,5.089369773864746,0,2.641978530804603,2.0402872562408447,2.724532861934598,589,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77069,soldier_caught,0,1,0,0,524,9,4.5,515,,,1.581131935119629,0,2.7378473875885323,3.466327667236328,2.8184665280831305,516,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77070,soldier_caught,0,1,0,0,546,11,5.5,535,,,0.9017879366874695,0,2.5781540872890556,0.8314164876937866,2.6616962055788322,536,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77071,intercepted,1,0,0,0,24,15,7.5,9,24.0,12.0,14.598563194274902,0,1.6937475830316544,2.9057064056396484,1.8583837326865178,10,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77072,intercepted,1,0,0,0,356,17,8.5,339,356.0,178.0,6.76076602935791,0,2.6625729881665285,2.4054148197174072,2.758783138086333,340,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77073,intercepted,1,0,0,0,205,11,5.5,194,205.0,102.5,4.917036533355713,0,2.6224504817754792,2.4870498180389404,2.7131824900604875,195,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77074,soldier_caught,0,1,0,0,295,10,5.0,285,,,1.3993494510650635,0,2.4350171377817236,2.5082569122314453,2.5875854905951825,286,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77075,intercepted,1,0,0,0,44,12,6.0,32,44.0,22.0,5.707566738128662,0,1.7452551487720374,2.3383820056915283,1.9897747573431315,33,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77076,soldier_caught,0,1,0,0,195,8,4.0,187,,,1.6939541101455688,0,2.6471529992178398,3.504394054412842,2.7412792174823863,188,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77077,intercepted,1,0,0,0,47,16,8.0,31,47.0,23.5,5.013218879699707,0,1.9256000258028507,2.726245880126953,2.0606065380903065,32,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77078,soldier_caught,0,1,0,0,1228,9,4.5,1219,,,0.37163859605789185,0,2.6221969642477934,3.023702383041382,2.70973119057586,1220,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77079,intercepted,1,0,0,0,761,22,11.0,739,761.0,380.5,2.0702972412109375,0,2.489961340056883,3.066051959991455,2.585310554913324,740,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77080,soldier_caught,0,1,0,0,272,9,4.5,263,,,1.0456078052520752,0,2.5197421903863098,1.4809027910232544,2.6297372633065645,264,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77081,intercepted,1,0,0,0,929,30,15.0,899,929.0,464.5,4.554413318634033,0,2.671674451397525,0.9379985332489014,2.742376933306607,900,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77082,intercepted,1,0,0,0,21,8,4.0,13,21.0,10.5,6.073137283325195,0,1.6309932470321655,3.012455463409424,1.8407076626069112,14,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77083,intercepted,1,0,0,0,648,8,4.0,640,648.0,324.0,3.5912060737609863,0,2.793768981782583,3.061713933944702,2.8454693219044214,641,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77084,timeout,0,0,0,1,2000,10,5.0,1990,,,2.8738999366760254,0,2.6291656049800123,2.301297187805176,2.7170094638784756,1991,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77085,unsafe_intercept,0,0,1,0,10,8,4.0,2,,,2.8456389904022217,0,0.8877629439036051,0.4806070923805237,0.9876356944675567,3,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77086,intercepted,1,0,0,0,97,9,4.5,88,97.0,48.5,5.898083209991455,0,2.805598404300347,2.489537239074707,2.8899318957995646,89,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77087,intercepted,1,0,0,0,58,9,4.5,49,58.0,29.0,3.7854957580566406,0,2.535717499256134,3.048450469970703,2.658858332438544,50,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77088,soldier_caught,0,1,0,0,349,9,4.5,340,,,1.817779779434204,0,2.540010375186495,2.6668267250061035,2.627958330348237,341,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77089,intercepted,1,0,0,0,260,49,24.5,211,260.0,130.0,2.978532314300537,0,2.5875117210847027,3.9537158012390137,2.674805607813612,212,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
77090,soldier_caught,0,1,0,0,835,10,5.0,825,,,0.7937595844268799,0,2.616839129937763,2.9798734188079834,2.7106132989185845,826,ppo_kalman_seed45,ppo_kalman,PPO-Kalman,45
